,time_elapsed,rt,subject,concept_group,filename,evalAttrUncs,img_id
6,260625.0,38584.0,6advpj5vj05ukbc,bill color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 80}, {'label': 'Brown', 'x': 1, 'y': 4}, {'label': 'Grey', 'x': 2, 'y': 19}]",4081
8,291881.0,31253.0,6advpj5vj05ukbc,primary color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 83}, {'label': 'Grey', 'x': 1, 'y': 65}, {'label': 'White', 'x': 2, 'y': 4}]",4081
10,315002.0,23119.0,6advpj5vj05ukbc,wing color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 93}, {'label': 'Grey', 'x': 1, 'y': 61}]",4081
12,384419.0,69413.0,6advpj5vj05ukbc,shape,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Duck-like', 'x': 0, 'y': 59}, {'label': 'Gull-like', 'x': 1, 'y': 62}, {'label': 'Hawk-like', 'x': 2, 'y': 76}, {'label': 'Pigeon-like', 'x': 3, 'y': 72}, {'label': 'Swallow-like', 'x': 4, 'y': 61}]",4081
14,412995.0,28573.0,6advpj5vj05ukbc,breast color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 65}, {'label': 'Grey', 'x': 1, 'y': 86}, {'label': 'White', 'x': 2, 'y': 87}]",4081
16,445187.0,32190.0,6advpj5vj05ukbc,wing pattern,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 10}, {'label': 'Solid', 'x': 1, 'y': 94}]",4081
18,475724.0,30534.0,6advpj5vj05ukbc,nape color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 74}, {'label': 'Grey', 'x': 1, 'y': 77}, {'label': 'White', 'x': 2, 'y': 76}]",4081
20,496301.0,20575.0,6advpj5vj05ukbc,upperparts color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 86}, {'label': 'Grey', 'x': 1, 'y': 70}, {'label': 'White', 'x': 2, 'y': 35}]",4081
22,515820.0,19515.0,6advpj5vj05ukbc,belly color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 26}, {'label': 'Grey', 'x': 1, 'y': 52}, {'label': 'White', 'x': 2, 'y': 75}]",4081
24,575295.0,59471.0,6advpj5vj05ukbc,bill shape,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Dagger', 'x': 0, 'y': 35}, {'label': 'Hooked', 'x': 1, 'y': 39}, {'label': 'Hooked seabird', 'x': 2, 'y': 39}]",4081
26,602688.0,27387.0,6advpj5vj05ukbc,eye color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 50}, {'label': 'Blue', 'x': 1, 'y': 50}, {'label': 'Brown', 'x': 2, 'y': 50}, {'label': 'Buff', 'x': 3, 'y': 50}, {'label': 'Green', 'x': 4, 'y': 50}, {'label': 'Grey', 'x': 5, 'y': 50}, {'label': 'Olive', 'x': 6, 'y': 50}, {'label': 'Orange', 'x': 7, 'y': 50}, {'label': 'Pink', 'x': 8, 'y': 50}, {'label': 'Purple', 'x': 9, 'y': 50}, {'label': 'Red', 'x': 10, 'y': 50}, {'label': 'Rufous', 'x': 11, 'y': 50}, {'label': 'White', 'x': 12, 'y': 50}, {'label': 'Yellow', 'x': 13, 'y': 50}]",4081
28,657271.0,54579.0,6advpj5vj05ukbc,wing shape,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Broad-wings', 'x': 0, 'y': 73}, {'label': 'Long-wings', 'x': 1, 'y': 89}, {'label': 'Pointed-wings', 'x': 2, 'y': 55}, {'label': 'Rounded-wings', 'x': 3, 'y': 55}, {'label': 'Tapered-wings', 'x': 4, 'y': 53}]",4081
30,675571.0,18294.0,6advpj5vj05ukbc,tail shape,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Pointed tail', 'x': 0, 'y': 16}]",4081
32,717754.0,42179.0,6advpj5vj05ukbc,size,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Very small (3 - 5 in)', 'x': 0, 'y': 2}, {'label': 'Small (5 - 9 in)', 'x': 1, 'y': 4}, {'label': 'Medium (9 - 16 in)', 'x': 2, 'y': 20}, {'label': 'Large (16 - 32 in)', 'x': 3, 'y': 63}, {'label': 'Very large (32 - 72 in)', 'x': 4, 'y': 86}]",4081
34,742155.0,24398.0,6advpj5vj05ukbc,breast pattern,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Multi-colored', 'x': 0, 'y': 94}, {'label': 'Spotted', 'x': 1, 'y': 5}, {'label': 'Striped', 'x': 2, 'y': 6}]",4081
36,770460.0,28301.0,6advpj5vj05ukbc,crown color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 88}, {'label': 'Grey', 'x': 1, 'y': 64}, {'label': 'White', 'x': 2, 'y': 8}]",4081
38,791619.0,21157.0,6advpj5vj05ukbc,bill length,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'About the same as head', 'x': 0, 'y': 88}, {'label': 'Longer than head', 'x': 1, 'y': 19}, {'label': 'Shorter than head', 'x': 2, 'y': 19}]",4081
40,814845.0,23222.0,6advpj5vj05ukbc,upper tail color,071.Long_tailed_Jaeger/Long_Tailed_Jaeger_0030_60961.jpg,"[{'label': 'Black', 'x': 0, 'y': 94}, {'label': 'Grey', 'x': 1, 'y': 60}, {'label': 'White', 'x': 2, 'y': 9}]",4081
